简化了很多很多操作，将直线加速和街头赛车合二为一，你只需要体验爽快就行，这是一款有故事的赛车游戏。\n	桐生一马	taptap	1474612898	5.0	 Fetty Wap传奇赛车	1528753269	1528753269	7586	227753					12	4
眼哥(≧∇≦)\n	Inkson	taptap	1474632254	5.0	 Fetty Wap传奇赛车	1528753282	1528753282	7586	228582				1	7	1
简简单单就是爱\n	李洪祚	taptap	1474635935	5.0	 Fetty Wap传奇赛车	1528760660	1528760660	7586	228830			OPPO R7s Plus			
看成了See you aigin的MV的说唱\n	龘帅比	taptap	1474676518	5.0	 Fetty Wap传奇赛车	1528753272	1528753272	7586	230144			红米3		40	4
我以为我点开了GTAV\n	Nass	taptap	1474682336	3.0	 Fetty Wap传奇赛车	1528753283	1528753283	7586	230401			华为 荣耀畅玩4C		6	
眼哥先给五星！！！！\n	Jason statham	taptap	1474781872	5.0	 Fetty Wap传奇赛车	1528760613	1528760613	7586	235213			小米手机5			
啊？眼哥？迷之游戏一会儿玩一下(๑•ี_เ•ี๑)\n	真菌团子桑	taptap	1474816521	3.0	 Fetty Wap传奇赛车	1528760635	1528760635	7586	236941			华为 荣耀6 Plus			
带劲的游戏，有中文就好了\n	影像 旭源	taptap	1474961197	5.0	 Fetty Wap传奇赛车	1528760635	1528760635	7586	241067			酷派大神F2			
非常棒 也不难\n	miti °	taptap	1475340363	5.0	 Fetty Wap传奇赛车	1528753270	1528753270	7586	256090			三星 Galaxy S7 edge		5	
真的很好玩，唯一遗憾的地方就是没有中文\n	LoineChen	taptap	1475423605	5.0	 Fetty Wap传奇赛车	1528760586	1528760586	7586	260254			华硕 ZenFone 2 Laser (ZE601KL)	1	3	
