眼哥代言的游戏必须玩\n	↑cんǐ権浪tú↓	taptap	1483968596	5.0	 Fetty Wap传奇赛车	1528760616	1528760616	7586	836169			乐1S		1	1
一开始以怀疑的态度试试，没想到试了之后就爱不释手了！\n	即墨好市民.L	taptap	1484556490	5.0	 Fetty Wap传奇赛车	1528753287	1528753287	7586	887159			NUOBILIN One S		1	
非常好玩的一个游戏呀\n	本人17岁?	taptap	1484720684	5.0	 Fetty Wap传奇赛车	1528760634	1528760634	7586	904477			vivo Xshot			
这游戏可以\n	White Seed	taptap	1484926540	5.0	 Fetty Wap传奇赛车	1528760621	1528760621	7586	929175			三星 Galaxy S6			
欸 眼哥？？？(´；Д；｀)\n	AKA大魔王?	taptap	1484967700	3.0	 Fetty Wap传奇赛车	1528760610	1528760610	7586	931401			魅族 M3			
厉害了，日天\n	日天	taptap	1485098268	4.0	 Fetty Wap传奇赛车	1528760579	1528760579	7586	946212			vivo Y31A		1	
兼容性对低版本手机不好\n	小刘~	taptap	1486214446	5.0	 Fetty Wap传奇赛车	1528760622	1528760622	7586	1057925			samsung SCH-P709E			
单机游戏吗？\n	青衣沾雨﹏醉红尘	taptap	1488441038	5.0	 Fetty Wap传奇赛车	1528760622	1528760622	7586	1266021			vivo vivo Y55L			
这是不是单机游戏\n	流年^0^似水	taptap	1489817726	5.0	 Fetty Wap传奇赛车	1528760623	1528760623	7586	1388527			SPRD GM-T1			
好游戏，不错！\n	小李飞刀	taptap	1491714823	5.0	 Fetty Wap传奇赛车	1528760625	1528760625	7586	1564006			乐Pro3			
特好玩呀，彪的特别爽\n	YJ	taptap	1492320340	5.0	 Fetty Wap传奇赛车	1528760592	1528760592	7586	1624558			中国移动 N1		1	
才玩五分钟觉得还可以吧\n	Marmalade	taptap	1492385224	4.0	 Fetty Wap传奇赛车	1528760580	1528760580	7586	1632137			三星 Galaxy S6			
很好玩  但是画质有点不行\n	忙着老去	taptap	1492409294	5.0	 Fetty Wap传奇赛车	1528760624	1528760624	7586	1634185			小米手机4			
请问 谁知道 游戏里的音乐是哪个歌手的\n	勇敢的鑫	taptap	1492515853	5.0	 Fetty Wap传奇赛车	1528760588	1528760588	7586	1638877				3	2	
游戏怎么调中文界面啊\n	柒业	taptap	1492600817	5.0	 Fetty Wap传奇赛车	1528760595	1528760595	7586	1653158			360 N4	1		
我就没看出哪里好玩了，虽然从做工上看的出开发者用了功，但这并不是借口，这游戏根本没体限街车的文化，恰恰相反，多余的体力值将游戏扼杀在摇篮里，使得玩家玩不尽兴，没有了发展的空间。游戏也太过单一，开发者注重了细节，却失了大体\n	2459635456	taptap	1492664597	1.0	 Fetty Wap传奇赛车	1528753278	1528753278	7586	1658535			联想 扬天		7	7
很好的游戏值得一玩\n	Joker	taptap	1494945838	5.0	 Fetty Wap传奇赛车	1528760590	1528760590	7586	1908431			vivo X7	1	1	
这是跑直线吗\n	柳三明	taptap	1495151077	2.0	 Fetty Wap传奇赛车	1528760665	1528760665	7586	1926790			三星 Galaxy Note4 		2	
这游戏是不错，但是这款游戏里面的那个限制的油箱把这款游戏的这种风格大大打了折扣。也许不能说这种游戏就是坏的，但是这种游戏的确是要改进一下。我希望在第二部里面不要有这种限制，因为它十个油箱，你一旦玩了十局之后就不能玩了，你就要退出游戏，玩点别的游戏。值得一提的就是那种双人模式，双人模式的话，它是一边一个，很有趣味。\n最后我再总结一下，这款游戏不像狂野飙车那样那种。。。。。。怎么讲呢？就是。。。。。。\n好了讲重点，这款游戏打破了以往直线加速的风格，他不像CSR赛车那样，就是换挡，这款游戏里增加了氮气加速的功能。另外，我来讲一下有难度的一点:其他的赛车游戏，他都是自动换挡，手动变更方向，但是这款游戏他让你手动换挡，又让你避让车辆，这无疑是这款FW NNF的一大亮点。\n	钻石菌???	taptap	1495376487	5.0	 Fetty Wap传奇赛车	1528753268	1528753268	7586	1956256			DOOV DOOV S3	3	11	1
车子太少了，应多推出新车\n	健忘	taptap	1497539677	1.0	 Fetty Wap传奇赛车	1528753281	1528753281	7586	2218548			乐2		3	
不错，画质好，玩法简单\n	明天	taptap	1501512336	5.0	 Fetty Wap传奇赛车	1528760663	1528760663	7586	2924031			华为Mate 9			
不错，不错，爱不释手。\n	♪☆点烟抽寂寞♛♬	taptap	1502435153	5.0	 Fetty Wap传奇赛车	1528760612	1528760612	7586	3185900			OPPO A53			
哇！还可以双人玩游戏，不错，5❤\n	猎鹰^0^风暴	taptap	1503128171	5.0	 Fetty Wap传奇赛车	1528753273	1528753273	7586	3368917			Noahedu U50			
感觉好玩。背景音乐也好听。画面也好\n	空白	taptap	1504958270	5.0	 Fetty Wap传奇赛车	1528753271	1528753271	7586	3805892			OPPO R7s		2	
非常有新意的游戏系统，将一维的直线加速赛变成了二维，boss战居然是追车枪战你敢信(⊙A⊙)各种qte惊险刺激（无奈我手残）只是有些关卡设计上有问题，不管怎么变道都会撞orz\n	生无可恋の1000-7	taptap	1506015586	5.0	 Fetty Wap传奇赛车	1528753269	1528753269	7586	3774340			vivo V3Max		2	
Good!至少比 真实赛车3 和 狂野飙车8 好玩。\n	钱涛	taptap	1507105717	5.0	 Fetty Wap传奇赛车	1528753277	1528753277	7586	4382220			华为 M2平板		1	7
这款游戏超好玩，建议大家玩。没办法，五星\n	默默	taptap	1507252024	5.0	 Fetty Wap传奇赛车	1528760631	1528760631	7586	4440460			魅族 M3			
开发商能把油箱去掉吗？  本来很好玩的  就是油箱限制住了\n	Xinglin -	taptap	1507712124	1.0	 Fetty Wap传奇赛车	1528753280	1528753280	7586	4569589			华为畅享5			1
要如何赚取金币，这车价，买不起\n	DD	taptap	1515479960	4.0	 Fetty Wap传奇赛车	1528760578	1528760578	7586	6660987			小米手机5		1	
Aaaa nnn\n	རྡོ་བ་བུ་སྨྱོན།	taptap	1517951976	5.0	 Fetty Wap传奇赛车	1528753276	1528753276	7586	7356745			vivo X9			
下不了\n	Unique[唯一	taptap	1518107827	1.0	 Fetty Wap传奇赛车	1528760666	1528760666	7586	7414569			Oppo R11			1
下载不到的？\n	LuShihuAN?	taptap	1519832603	4.0	 Fetty Wap传奇赛车	1528760576	1528760576	7586	7958208			vivo vivo X9s L		1	
<div class="item-text-body" data-review-412728="contents">\n                            <p>可以联机吗</p>\n                    </div>	麒麟君	taptap	1478499434	4.0	 ZONA：切尔诺贝利日记 (BETA)	1528491853	1528491853	24411							
<div class="item-text-body" data-review-412983="contents">\n                            <p>电影改编可以去看电影就是切尔诺贝利日记</p><p>第二看图av画质</p><p>第三未转变者一样的突然袭击</p><p>第四还tm要吃怪物肉和人肉看到这些不玩了</p>\n                    </div><div class="item-text-body" data-comment-311685="contents">\n                                            <p>第四是模仿太阳的，太阳里也是吃怪物肉</p>\n                                    </div><div class="item-text-body" data-comment-772683="contents">\n                                            <p>要你管</p>\n                                    </div><div class="item-text-body" data-comment-2549004="contents">\n                                            <p>太阳里面狗死了会掉香肠。。。。搞不懂。。。</p>\n                                    </div><div class="item-text-body" data-comment-2556429="contents">\n                                            <p>因为那是香肠狗？</p>\n                                    </div>	小金木袭胸哎	taptap	1478503669	3.0	 ZONA：切尔诺贝利日记 (BETA)	1528491834	1528491834	24411							
<div class="item-text-body" data-review-413148="contents">\n                            <p>玩不起啊玩不起</p>\n                    </div>	龏翍	taptap	1478506979	1.0	 ZONA：切尔诺贝利日记 (BETA)	1528491871	1528491871	24411							
<div class="item-text-body" data-review-415166="contents">\n                            <p>很像一款游戏太阳</p>\n                    </div>	浦子	taptap	1478531564	1.0	 ZONA：切尔诺贝利日记 (BETA)	1528491858	1528491858	24411							
<div class="item-text-body" data-review-417049="contents">\n                            <p>哇有，沙发，感觉良好</p>\n                    </div>	萌萌哒的节操君	taptap	1478581847	4.0	 ZONA：切尔诺贝利日记 (BETA)	1528491857	1528491857	24411							
<div class="item-text-body" data-review-417227="contents">\n                            <p>啦啦啦啦啦</p>\n                    </div>	包胖子ԅ(¯ㅂ¯ԅ)	taptap	1478584313	5.0	 ZONA：切尔诺贝利日记 (BETA)	1528491867	1528491867	24411							
<div class="item-text-body" data-review-417340="contents">\n                            <p>看到枪我就立马下载了●_●</p>\n                    </div><div class="item-text-body" data-comment-710357="contents">\n                                            <p>怎么拿枪？</p>\n                                    </div>	沫儿	taptap	1478586045	5.0	 ZONA：切尔诺贝利日记 (BETA)	1528491862	1528491862	24411							
<div class="item-text-body" data-review-417427="contents">\n                            <p>坑爹，找了半天没有找到一辆车可以开。</p>\n                    </div>	♚北海有墓碑♛	taptap	1478587333	3.0	 ZONA：切尔诺贝利日记 (BETA)	1528491844	1528491844	24411							
